block,cohort,year_from,grade_from,n_from,mean_from,year_to,grade_to,n_to,mean_to,progression_pp,instrument_caveat
B0058 hirekerur,G4 2022-23 -> G5 2023-24,2022-23,4.0,209,73.1579,2023-24,5.0,1075,57.548836,-15.61,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0058 hirekerur,G5 2022-23 -> G6 2023-24,2022-23,5.0,277,75.1444,2023-24,6.0,981,59.587154,-15.56,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0018 belur,G4 2022-23 -> G5 2023-24,2022-23,4.0,157,70.28662,2023-24,5.0,517,54.787235,-15.5,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0109 pandavapura,G5 2022-23 -> G6 2023-24,2022-23,5.0,266,78.38346,2023-24,6.0,642,62.92056,-15.46,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0017 belgaum rural,G4 2022-23 -> G5 2023-24,2022-23,4.0,262,78.22519,2023-24,5.0,1120,63.089287,-15.14,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0117 sandur,G4 2023-24 -> G5 2024-25,2023-24,4.0,1292,46.451237,2024-25,5.0,1710,31.511696,-14.94,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0093 malavally,G5 2022-23 -> G6 2023-24,2022-23,5.0,271,70.95941,2023-24,6.0,1239,56.101696,-14.86,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0046 gubbi,G5 2022-23 -> G6 2023-24,2022-23,5.0,1561,78.13261,2023-24,6.0,1212,64.0099,-14.12,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0109 pandavapura,G5 2023-24 -> G6 2024-25,2023-24,5.0,801,65.20599,2024-25,6.0,591,51.10829,-14.1,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0113 ramdurg,G5 2022-23 -> G6 2023-24,2022-23,5.0,238,78.42437,2023-24,6.0,1308,64.40749,-14.02,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0162 mysore rural,G5 2023-24 -> G6 2024-25,2023-24,5.0,532,59.708645,2024-25,6.0,1304,45.77454,-13.93,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0103 nagamangala,G5 2022-23 -> G6 2023-24,2022-23,5.0,752,72.25399,2023-24,6.0,726,58.65014,-13.6,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0118 savanur,G5 2022-23 -> G6 2023-24,2022-23,5.0,233,69.077255,2023-24,6.0,788,55.901016,-13.18,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0125 sindagi,G4 2022-23 -> G5 2023-24,2022-23,4.0,142,61.161972,2023-24,5.0,1242,48.019325,-13.14,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0068 humnabad,G5 2022-23 -> G6 2023-24,2022-23,5.0,1235,57.591095,2023-24,6.0,979,44.5761,-13.01,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0068 humnabad,G4 2022-23 -> G5 2023-24,2022-23,4.0,1186,55.290894,2023-24,5.0,1051,42.40723,-12.88,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0109 pandavapura,G4 2022-23 -> G5 2023-24,2022-23,4.0,306,77.924835,2023-24,5.0,801,65.20599,-12.72,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0110 raibag,G5 2022-23 -> G6 2023-24,2022-23,5.0,95,70.73684,2023-24,6.0,1160,58.62931,-12.11,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0017 belgaum rural,G5 2022-23 -> G6 2023-24,2022-23,5.0,275,77.23637,2023-24,6.0,1185,65.23207,-12.0,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0086 kundagol,G5 2022-23 -> G6 2023-24,2022-23,5.0,706,75.14164,2023-24,6.0,1326,63.702866,-11.44,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0012 ballari east,G5 2023-24 -> G6 2024-25,2023-24,5.0,1271,48.595592,2024-25,6.0,1646,37.232685,-11.36,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0013 ballari west,G5 2023-24 -> G6 2024-25,2023-24,5.0,603,43.499172,2024-25,6.0,922,32.15835,-11.34,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0025 chadachan,G5 2022-23 -> G6 2023-24,2022-23,5.0,117,66.96581,2023-24,6.0,576,55.711807,-11.25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0135 tiptur,G5 2022-23 -> G6 2023-24,2022-23,5.0,738,75.41328,2023-24,6.0,791,64.17825,-11.24,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0045 gokak,G4 2022-23 -> G5 2023-24,2022-23,4.0,100,80.95,2023-24,5.0,845,69.76331,-11.19,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0098 mudalgi,G5 2023-24 -> G6 2024-25,2023-24,5.0,1133,56.804943,2024-25,6.0,2591,45.752605,-11.05,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0067 hukkeri,G5 2023-24 -> G6 2024-25,2023-24,5.0,1129,74.65013,2024-25,6.0,2407,63.797256,-10.85,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0078 khanapur,G4 2022-23 -> G5 2023-24,2022-23,4.0,251,73.40637,2023-24,5.0,845,62.64497,-10.76,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0113 ramdurg,G4 2022-23 -> G5 2023-24,2022-23,4.0,259,75.52123,2023-24,5.0,1236,64.77346,-10.75,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0045 gokak,G5 2023-24 -> G6 2024-25,2023-24,5.0,845,69.76331,2024-25,6.0,1031,59.03977,-10.72,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0082 koratagere,G5 2022-23 -> G6 2023-24,2022-23,5.0,357,69.64986,2023-24,6.0,838,58.98568,-10.66,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0110 raibag,G4 2022-23 -> G5 2023-24,2022-23,4.0,99,66.26263,2023-24,5.0,1172,55.814846,-10.45,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0135 tiptur,G4 2022-23 -> G5 2023-24,2022-23,4.0,621,72.84219,2023-24,5.0,864,62.447918,-10.39,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0133 t.n.pura,G5 2023-24 -> G6 2024-25,2023-24,5.0,464,63.782326,2024-25,6.0,1141,53.404907,-10.38,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0011 bailhongal,G5 2023-24 -> G6 2024-25,2023-24,5.0,1309,67.44843,2024-25,6.0,2128,57.131107,-10.32,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0114 ranebennur,G5 2022-23 -> G6 2023-24,2022-23,5.0,302,68.99007,2023-24,6.0,1162,58.696213,-10.29,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0136 tumkur,G4 2022-23 -> G5 2023-24,2022-23,4.0,673,70.995544,2023-24,5.0,1655,60.76133,-10.23,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0069 hunagund,G4 2022-23 -> G5 2023-24,2022-23,4.0,205,65.17073,2023-24,5.0,1384,54.94942,-10.22,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0113 ramdurg,G5 2023-24 -> G6 2024-25,2023-24,5.0,1236,64.77346,2024-25,6.0,2250,54.76889,-10.0,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0044 gangavathi,G5 2022-23 -> G6 2023-24,2022-23,5.0,1923,55.145607,2023-24,6.0,1783,45.213123,-9.93,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0069 hunagund,G5 2022-23 -> G6 2023-24,2022-23,5.0,199,70.201004,2023-24,6.0,1407,60.277187,-9.92,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0090 maddur,G4 2022-23 -> G5 2023-24,2022-23,4.0,187,62.139038,2023-24,5.0,944,52.383476,-9.76,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0051 hadagali,G4 2022-23 -> G5 2023-24,2022-23,4.0,792,54.17298,2023-24,5.0,1021,44.50049,-9.67,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0032 chikodi,G5 2023-24 -> G6 2024-25,2023-24,5.0,984,76.727646,2024-25,6.0,1398,67.153076,-9.57,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0031 chiknayakanhalli,G5 2023-24 -> G6 2024-25,2023-24,5.0,1232,64.78896,2024-25,6.0,883,55.260475,-9.53,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0148 h.d.kote,G5 2023-24 -> G6 2024-25,2023-24,5.0,466,54.592274,2024-25,6.0,1324,45.09441,-9.5,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0062 honnali,G5 2023-24 -> G6 2024-25,2023-24,5.0,737,53.867027,2024-25,6.0,1180,44.39407,-9.47,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0034 chintamani,G5 2022-23 -> G6 2023-24,2022-23,5.0,1093,58.138153,2023-24,6.0,782,48.74041,-9.4,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0075 kagwad,G5 2023-24 -> G6 2024-25,2023-24,5.0,313,59.744408,2024-25,6.0,346,50.49133,-9.25,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0057 hassan,G5 2022-23 -> G6 2023-24,2022-23,5.0,344,71.59884,2023-24,6.0,798,62.462406,-9.14,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0104 nanjanagud,G5 2023-24 -> G6 2024-25,2023-24,5.0,495,56.79798,2024-25,6.0,1968,47.746445,-9.05,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0011 bailhongal,G4 2023-24 -> G5 2024-25,2023-24,4.0,1272,67.2956,2024-25,5.0,2040,58.311275,-8.98,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0019 bhalki,G5 2022-23 -> G6 2023-24,2022-23,5.0,1063,48.607716,2023-24,6.0,883,39.648926,-8.96,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0091 madhugiri,G5 2022-23 -> G6 2023-24,2022-23,5.0,170,60.47059,2023-24,6.0,1460,51.63014,-8.84,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0064 hosakote,G5 2022-23 -> G6 2023-24,2022-23,5.0,940,61.175533,2023-24,6.0,817,52.44798,-8.73,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0037 davanagere(n),G5 2023-24 -> G6 2024-25,2023-24,5.0,549,51.985428,2024-25,6.0,724,43.27348,-8.71,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0042 doddaballapura,G5 2022-23 -> G6 2023-24,2022-23,5.0,1035,62.545895,2023-24,6.0,763,53.905636,-8.64,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0077 kanakapura,G5 2023-24 -> G6 2024-25,2023-24,5.0,1522,55.40407,2024-25,6.0,983,46.820957,-8.58,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0098 mudalgi,G4 2022-23 -> G5 2023-24,2022-23,4.0,99,65.30303,2023-24,5.0,1133,56.804943,-8.5,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0007 aurad,G4 2022-23 -> G5 2023-24,2022-23,4.0,658,57.462006,2023-24,5.0,491,48.971485,-8.49,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0001 afzalpur,G5 2022-23 -> G6 2023-24,2022-23,5.0,1293,53.44934,2023-24,6.0,1064,45.023495,-8.43,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0051 hadagali,G5 2022-23 -> G6 2023-24,2022-23,5.0,861,60.737514,2023-24,6.0,948,52.3154,-8.42,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
B0087 kunigal,G4 2022-23 -> G5 2023-24,2022-23,4.0,645,62.744186,2023-24,5.0,873,54.3929,-8.35,CAVEAT: items differ across years but map to a constant competency framework. Item-level year comparisons mix learning and instrument change; competency-level comparisons are more defensible (still assume similar difficulty within competency). Prefer rankings and competency-level statements across years.
