id,verdict,hypothesis,effect,evidence,caveat,policy_meaning,source
EH11,SUPPORTED,"Contest district ranking agrees with ASER 2024 rural arithmetic (like-for-like: rural, same age band)",Spearman rho=0.56 (p=0.00362) vs ASER Std6-8 division; rho=0.30 (p=0.141) vs the other scale (n=25 districts),our 2024-25 district mean vs ASER 2024 district estimates,ASER district samples are small (~600 kids),External agreement validates the contest as a measurement instrument; that is a policy asset in itself.,extra_hypotheses
EH12,DISCARD,Agreement with ASER is better in well-covered districts (disagreement = coverage artefact),"corr(coverage, |rank disagreement|) r=-0.01 (p=0.95, n=25)",rank disagreement vs ASER Std3-5 subtraction,two noisy rankings compared,"If supported: fix coverage first, then trust the map.",extra_hypotheses
EH13,SUPPORTED,One competency is the best single proxy for overall performance,"mean corr with rest-of-test across 9 grade-years: division 0.67, measurement 0.67, multiplication 0.66, subtraction 0.65, number_sense 0.62, addition 0.62, shapes 0.58",part-whole overlap removed (competency correlated with the OTHER competencies only),"correlation, not sequencing",A short division screener could stand in for the whole test between contest rounds.,extra_hypotheses
EH14,SUPPORTED,Mastery is a ladder: conditional mastery gaps are large (prerequisite structure),largest lift: addition -> subtraction (+48pp: 72% vs 24%); multiplication -> division lift +45pp,pooled across files,"conditional probability, not causal ordering",Remediation should sequence: secure the prerequisite before drilling the dependent skill.,extra_hypotheses
EH15,SUPPORTED,Low-performing GPs are also the most internally unequal,"corr(GP mean, GP sd) r=-0.62 (p=0, n=5599 GPs with >=15 students)","GP-level, all years pooled","sd is bounded near the score ceiling, which inflates the negative corr","The worst GPs need whole-class remediation, not just tail-targeting.",extra_hypotheses
EH16,SUPPORTED,"Where coverage grew most, the measured floor (p10) fell most (the tail is who arrived)","corr(d_coverage, floor change) r=-0.54 (p=0.00507, n=25 districts)",p10 change 2022-23 -> 2024-25,floor and coverage both move with district effort,"Falling floors in expanding districts are a triage signal, not necessarily deterioration.",extra_hypotheses
EH17,DISCARD,Districts named in the 2023 drought declaration declined more in the following year,drought list resolves to 0 districts - no usable contrast,event geography too broad or too narrow to test,the 2023 drought covered most of the state,Cannot test with district contrast; say so in limitations.,extra_hypotheses
EH18,SUPPORTED,"Bright-spot blocks cluster in a few districts (shared practice, not luck)","chi-sq p=0.0219; 22 bright blocks, top districts: Belagavi 6, Tumakuru 3, Vijayapura 3",expected counts proportional to district block counts,residual-based flags; model cv_R2=0.26,"If clustered, send the CRP cadre to study those districts' shared practices.",extra_hypotheses
EH19,SUPPORTED,The Kalyana Karnataka gap is widening across the three contest years,"371J-minus-rest gap by year: 2022-23 -10.0pp, 2023-24 -11.9pp, 2024-25 -15.8pp",student-weighted,coverage grew fastest in some KK districts; part of the widening may be reach,"A widening gap strengthens the case for KKRDB money to follow measured learning, not only infrastructure.",extra_hypotheses
EH20,DISCARD,Some items barely discriminate and dilute the measure,0 of 180 item-year-grades with discrimination r<0.15; worst: ,point-biserial vs total,low discrimination can also mean everyone-right or everyone-wrong items,Hand the item list to Akshara's assessment team for the 2025-26 paper.,extra_hypotheses
EH21,WEAK,A handful of items behave differently by gender (DIF screen),5 of 180 item-year-grades with |girls-boys| >= 5pp (mostly girls-favoured),"raw gap screen, not ability-matched DIF",crude screen; proper DIF needs matching on total score,Flag for item review; do not over-read single items.,extra_hypotheses
EH22,DISCARD,GPs newly reached in 2024-25 score below veteran GPs (direct composition evidence),"new GPs (k=655, 16% of G6 students): mean 53.1 vs veteran GPs 48.6 (gap +4.6pp)","G6 2024-25, GPs with >=5 students","new GPs may differ in remoteness and size, not only preparedness",Quantifies exactly how much of the 'decline' is the contest finding weaker children. Pair with EH1 for the full story.,extra_hypotheses
EH23,SUPPORTED,"The coastal top-of-table is measured on thin, likely selected samples","Udupi pooled rank 1 of 29 on 5.7% coverage; Dakshina Kannada pooled rank 2 of 29 on 2.0% coverage; Uttara Kannada pooled rank 3 of 29 on 0.8% coverage; and Udupi, Uttara Kannada, Dakshina Kannada absent from the 2024-25 round entirely","pooled across all three years, rural State-Govt coverage basis","thin samples are noisy in both directions; this is a warning about reading the table, not a claim they are secretly weak",Do not hold coastal districts up as models until their coverage passes ~50%.,extra_hypotheses
EH24,SUPPORTED,Mean-vs-floor divergence concentrates where coverage grew fastest,"floor-minus-mean divergence by coverage-growth tercile: low +3.0, mid +2.0, high -6.4 pp",district-level,same selection caveat as EH16,Equity metrics from a voluntary contest must be read jointly with coverage.,extra_hypotheses
H1,DISCARD,"Higher pupil-teacher ratio, lower scores","r=-0.18 (p=0.0711, n=99 blocks)",direction holds across years; controlled for Census block literacy. ,PTR proxies remoteness too; partial control applied for block literacy,"Do not present. If asked, say it was tested and found near-zero.",day1_verdicts
H2,DISCARD,Non-Kannada-medium belts score differently on a Kannada-language test,"r=-0.01 (p=0.947, n=116 blocks)",direction holds across years; ,"medium share is a school-stock measure, not the tested child's home language; upgrade: item-level word-problem vs computation split in the afternoon","Do not present. If asked, say it was tested and found near-zero.",day1_verdicts
H4,DISCARD,NFHS-5 stunting districts still lag (the tested cohort IS that under-5 cohort),"r=-0.04 (p=0.837, n=28 districts)",direction holds across years; ,NFHS-5 is 2019-21 and urban+rural; tested cohort born 2012-16 so exposure timing fits,"Do not present. If asked, say it was tested and found near-zero.",day1_verdicts
H5,SUPPORTED,"Kalyana Karnataka (371J) gap, and whether inputs explain it",raw gap -13.3 pp; after controlling ptr_govt+literacy_rate_7plus+u5_stunted_pct the gap is -4.8 pp (mostly explained by measured inputs),"controls: ptr_govt, literacy_rate_7plus, u5_stunted_pct",a decade of 371J funds; KKRDB education-year 2023-24 pushes the other way from 2023-24,"Present the pair of numbers: the gap, and the gap after controls. That is the policy slide.",day1_verdicts
H6,DISCARD,Gender gap changes as maths gets harder,"girls-minus-boys: +2.3 pp on easiest tier vs +2.6 pp on hardest (rank r=-0.01, p=0.979)",tiers = top/bottom third of competencies by overall mastery,"if the competency map was inferred rather than official, say so on the slide",Do not present a flip; report the flat overall gap with effect size instead.,day1_verdicts
H7,SUPPORTED,Averages move without the weakest children moving,12 of 25 districts show mean up while the 10th percentile lagged (divergence < 0),floor = 10th percentile of student % correct,"items changed yearly: frame as ranking/shape shifts, not point gains",Lead the equity slide with the count; name 2 districts each way.,day1_verdicts
H8,DISCARD,Cohorts in teacher-starved blocks progress slower,"cohort progression -1.96 pp in top-PTR quartile vs -2.00 in bottom (diff 0.04, p=0.965)","same cohort, same place, different children; composition can shift",cross-year comparison carries the instrument caveat,Do not present; progression is not differential by PTR here.,day1_verdicts
H9,DISCARD,Who-got-tested bias,join too thin,GP name match with UDISE below usable threshold,expected fuzziness materialised,Fall back to district-level coverage in the afternoon if time allows.,day1_verdicts
H10,DISCARD,"High private-school presence, lower government-school scores (selection)","r=-0.14 (p=0.133, n=116 blocks)",direction holds across years; ,"composition/selection story, not school quality; CMS-E shows exit is income-graded","Do not present. If asked, say it was tested and found near-zero.",day1_verdicts
H11,SUPPORTED,The learning map follows pre-1956 administrative borders,legacy-group means: Bombay 60.5; Coorg 54.4; Hyderabad 45.9; Madras 58.2; Mysore 54.9 (ANOVA p=0.036),coded by us from States Reorganisation Act literature; verify before quoting,"explains, never excuses; do not present without the 371J-inputs slide next to it","Innovation slide if SUPPORTED. Framing: a 70-year inheritance, not a verdict on anyone today.",day1_verdicts
H12,WEAK,Akshara district ranking replicates in PARAKH RS 2024 grade-6 maths (govt schools),"Spearman rho=0.51 (p=0.00431, n=29 districts)","compared against the state-government subgroup column, the same management universe","PARAKH publishes integers and samples ~1,300 schools statewide; ties within 1 point",Moderate agreement; cite as partial corroboration only.,day1_verdicts
H13,WEAK,District gender gaps replicate in PARAKH RS 2024,r=-0.15 (p=0.431); sign agreement 76% of 29 districts,"PARAKH statewide shows girls +2 at grades 3 and 6, 0 by grade 9","both instruments are cross-sectional; agreement supports the pattern, not a cause",If SUPPORTED: one line that the gender pattern is not an artefact of our instrument.,day1_verdicts
